2018-06-01 08:38:45 status installed fonts-dejavu-extra:all 2.37-1
2018-06-01 08:38:45 trigproc ca-certificates:all 20180409 <none>
2018-06-01 08:38:45 status half-configured ca-certificates:all 20180409
2018-06-01 08:38:46 status installed ca-certificates:all 20180409
2018-06-01 08:38:46 configure libatk-wrapper-java:all 0.33.3-20ubuntu0.1 <none>
2018-06-01 08:38:46 status unpacked libatk-wrapper-java:all 0.33.3-20ubuntu0.1
2018-06-01 08:38:46 status half-configured libatk-wrapper-java:all 0.33.3-20ubuntu0.1
2018-06-01 08:38:46 status installed libatk-wrapper-java:all 0.33.3-20ubuntu0.1
2018-06-01 08:38:46 trigproc hicolor-icon-theme:all 0.17-2 <none>
2018-06-01 08:38:46 status half-configured hicolor-icon-theme:all 0.17-2
2018-06-01 08:38:46 status installed hicolor-icon-theme:all 0.17-2
2018-06-01 08:38:46 trigproc fontconfig:amd64 2.12.6-0ubuntu2 <none>
2018-06-01 08:38:46 status half-configured fontconfig:amd64 2.12.6-0ubuntu2
2018-06-01 08:38:46 status installed fontconfig:amd64 2.12.6-0ubuntu2
2018-06-01 08:38:46 configure libatk-wrapper-java-jni:amd64 0.33.3-20ubuntu0.1 <none>
2018-06-01 08:38:46 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2018-06-01 08:38:46 status unpacked libatk-wrapper-java-jni:amd64 0.33.3-20ubuntu0.1
2018-06-01 08:38:46 status half-configured libatk-wrapper-java-jni:amd64 0.33.3-20ubuntu0.1
2018-06-01 08:38:46 status installed libatk-wrapper-java-jni:amd64 0.33.3-20ubuntu0.1
2018-06-01 08:38:46 configure openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1 <none>
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
